name,address,website,phone_number,reviews_count,reviews_average
Museum MH. Thamrin,"Jl. Kenari 2 No.15, RW.4, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,(021) 3903387,(819),"4,6"
Jurnal Anakrino,"Jl. Otista Raya No.125-127, Bidara Cina, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330",journal.sttajakarta.ac.id,0812-9875-2654,,
Bumi Mangga Residence Artist,"Jl. Manggarai Utara 3 dekat Masjid SMP 3 No.C3, Manggarai, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850",,0896-0884-2489,(3),"4,7"
Museum Sasmita Loka Ahmad Yani,"11, Jl. Lembang No.67, RT.11/RW.7, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",museum-tniad.blogspot.com,0877-7426-4064,(873),"4,7"
Museum Sasmitaloka Jenderal Besar Dr. A. H. Nasution,"Jl. Teuku Umar No.40, RT.1/RW.1, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,(1.029),"4,8"
Museum Satriamandala,"Jl. Gatot Subroto No.14, RT.6/RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710",sejarah-tni.mil.id,0813-1947-1139,(7.683),"4,6"
Museum Perumusan Naskah Proklamasi,"Jl. Imam Bonjol No.1, RT.9/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",munasprok.go.id,(021) 3144743,(1.123),"4,7"
iMuseum (Indonesia Museum of Health and Medicine) IMERI FKUI,"Jl. Salemba Raya No.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",imeri.fk.ui.ac.id,(021) 29189160,(49),"4,7"
Awas jatoh,"Jl. Sekolahan No.59, RT.5/RW.6, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",,,(6),"5,0"
Anak tuho workshop,"Gg. Musholla Al Faathiah No.30, RT.3/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13230",,0813-9866-6622,(4),"5,0"
